State,Longitude,Latitude,Population,Literate
Andaman and Nicobar,92.88957896,11.94237332,380581,294236
Andhra Pradesh,79.91620298,16.5541242,69147421,40901528
Arunachal Pradesh,94.54532681,27.72576542,1354556,751579
Assam,92.65731036,26.32134089,23415900,14457500
Bihar,85.63677401,25.77139354,105473507,53701763
Chandigarh,76.75872466,30.7426,1055450,805438
Chhattisgarh,82.12509334,21.55573858,22904359,14374537
Dadra and Nagar Haveli,73.09454961,20.21513217,343709,223230
Daman and Diu,72.41121191,20.49456979,2934255,1993166
Delhi,77.12804518,28.6459443,16800000,12717106
Goa,73.86601626,15.39350404,1458545,1165487
Gujarat,72.19574739,22.37440585,57505584,39596151
Haryana,76.52123743,29.19561628,20555285,13713522
Himachal Pradesh,76.85561814,31.64946888,10600952,7267750
Jammu and Kashmir,75.00063062,33.651699,5526220,3458278
Jharkhand,85.85996246,23.76750555,24194739,13195246
Karnataka,76.29962468,14.36981709,43669356,27940474
Kerala,76.21770621,10.32670636,32208649,27073271
Lakshadweep,72.82992744,10.43639053,2817105,52553
Madhya Pradesh,78.08249213,23.6356052,66444576,39619727
Maharashtra,75.27055447,19.39251561,98349916,70027169
Manipur,93.8644935,24.73897489,1881689,1191186
Meghalaya,91.2375107,25.48036736,2708049,1629146
Mizoram,92.81661901,23.45835659,1097206,848175
Nagaland,94.3257526,26.06185708,1758795,1209139
Orissa,84.98396584,20.52959736,30219438,19391865
Puducherry,79.75997363,11.94431293,297664,230660
Punjab,75.45295226,30.91206149,24421246,16506110
Rajasthan,75.22539475,26.49328197,67680589,37873767
Sikkim,88.51230522,27.3376798,1709346,1352998
Tamil Nadu,78.76274652,11.15971133,56044203,40461425
Tripura,91.65871314,23.70930485,3673917,2804783
Uttar Pradesh,80.65919244,27.06916343,177909549,102683667
Uttaranchal,78.84563219,29.91025594,4615015,3080771
West Bengal,88.14959609,23.42134318,59275955,38545821
